sample_id	0007888f-8d96-4c01-8251-7fef6cc71596	000b6b94-572d-4d06-a8f4-2e43829f83d4	000d81dd-9ba4-4852-9090-2bf22f6483f0	0016a232-4573-4e00-afdc-7b4144101ef9	00174492-1adc-4310-8147-a622befbb466	0019c951-16c5-48d0-85c8-58d96b12d330	0022cd20-f64f-4773-b9ff-a3de0b71b259	0024696f-27f5-4d5d-a933-d8c8c52146a6	00252d7f-e222-462f-badc-b97e8dce2021	002cf74b-098b-4de6-9a76-0d889c894ab6
TSPAN6	54.5637	27.3874	50.3093	27.8715	37.8239	56.2216	28.535	50.5159	138.9149	59.9764
TNMD	0.0966	0.0482	1.8636	0.0333	0.3392	0.2768	5.169	0.0318	1.2867	0.052
DPM1	93.9366	113.4229	85.7241	49.5446	51.3701	126.9161	101.9253	93.403	77.29	138.3704
SCYL3	13.0767	12.6289	9.2839	1.8261	4.6496	25.4778	11.2845	8.1861	3.8629	6.4018
C1orf112	2.459	12.1395	3.2253	0.4112	1.7095	15.4251	3.6297	5.0929	1.7255	2.3896
FGR	1.3697	45.7841	17.8309	5.11	14.5073	10.3359	18.47	0.5141	17.9696	6.6335
CFH	13.9403	17.334	25.0306	22.1122	29.0526	35.5701	76.7174	15.0756	79.2434	75.2337
FUCA2	38.2332	46.1661	59.9089	50.6107	63.3354	40.2007	52.0056	72.5052	44.6616	61.0035
GCLC	11.825	13.6551	21.7166	5.9534	13.0666	13.2587	13.8941	12.111	11.4259	25.9343
NFYA	38.4651	41.9565	29.1489	13.2695	18.9981	70.3931	34.0329	25.7595	15.1162	29.5749
STPG1	8.7584	3.4211	3.8038	3.8189	2.7647	4.5871	4.6688	2.9043	3.9151	1.8069
NIPAL3	56.1256	9.274	21.7088	34.3408	23.2889	19.999	10.8377	12.9687	60.6066	5.7059
LAS1L	16.7163	21.3206	14.477	12.154	8.5183	17.5048	12.0776	4.6264	12.7477	6.8361
ENPP4	103.2289	13.7968	70.7588	7.6437	33.735	44.0318	28.0311	24.6807	40.6966	25.7151
SEMA3F	22.4602	46.099	134.953	31.2529	75.3075	54.6086	40.7409	91.8642	129.3867	27.2167
CFTR	0.2079	0.6803	0.3512	0.0938	0.3835	0.0704	0.0639	2.9448	0.5441	22.28
ANKIB1	32.4446	31.2071	73.0224	5.03	24.5695	64.3043	33.9158	19.4232	41.1785	37.2183
CYP51A1	1.5347	1.513	1.409	0.0835	1.1895	3.4396	0.6756	1.3316	2.1037	2.7494
KRIT1	4.8934	4.3605	5.0306	1.6619	2.5948	4.9478	3.5612	2.3027	2.4582	4.9143
RAD52	5.6815	18.3868	12.2407	3.1292	8.9031	8.4497	4.4357	4.3101	3.8341	3.5769
MYH16	0.0791	0.2822	0.3355	0.0234	0.055	0.074	0.084	0.0969	0	2.2072
BAD	35.1315	28.4266	15.2377	48.1485	11.0259	17.186	3.7224	9.7124	18.532	18.4788
LAP3	50.9865	150.772	136.655	59.0333	97.1795	99.2613	161.5211	50.4575	91.457	79.2527
CD99	182.0042	165.3468	94.0583	72.9483	77.8952	178.3752	333.8358	61.0586	138.4263	93.6324
HS3ST1	1.9649	4.3854	3.159	0.766	3.4135	1.2951	3.3849	19.8024	3.1194	57.6613
AOC1	4.2352	1.8992	752.7593	1.1542	81.204	0.2004	0.5458	119.8173	355.4558	44.245
WNT16	0.0873	0.698	0.0648	0	0	0.3039	0.3084	0.1008	0.0353	0.0822
HECW1	0.0665	0.4291	0.4707	0.0493	0.0525	0.536	0.2357	0.0202	0.2684	0.066
MAD1L1	0.0394	0.5317	0.1902	0.1087	0.2024	0.1211	0.3371	0.3835	0.4856	0.2652
LASP1	65.9354	79.2978	144.4832	36.8802	115.8348	145.484	164.4155	71.3854	151.8101	141.3471
SNX11	20.2775	32.3489	22.7054	21.359	15.1139	28.7338	20.9722	13.7694	15.1082	18.4186
TMEM176A	8.3623	113.3087	619.9305	36.9817	414.2905	79.1859	54.0637	101.9341	692.2915	21.4745
M6PR	27.5714	112.0399	92.5166	11.2711	81.4598	115.6564	53.7208	20.0165	145.0074	66.4087
KLHL13	1.2553	3.8741	6.0602	0.1406	3.1436	0.4179	1.4643	0.8008	5.324	0.3295
CYP26B1	0.4974	6.7572	9.6409	0.4601	1.6741	1.3382	8.4834	2.8205	9.4444	0.8871
ICA1	64.332	16.2124	9.8582	9.9642	4.9766	36.8811	40.0266	23.8191	6.2229	31.5091
DBNDD1	31.3199	6.9564	9.7688	13.6222	6.4128	20.9129	6.4595	19.2313	16.8833	13.339
ALS2	12.5283	8.5528	14.8083	2.4788	8.4565	19.937	8.3701	12.5565	17.0534	9.7215
CASP10	2.8577	8.2357	22.2311	4.7925	12.2174	7.159	10.2106	23.8966	20.4891	11.1746
CFLAR	16.292	19.2999	34.4654	9.8286	21.7717	24.4057	15.5606	15.0499	35.5302	17.2274
TFPI	37.4086	6.1443	39.974	0.8886	125.4767	4.8324	15.5273	11.8226	225.9219	14.9025
NDUFAF7	8.12	17.0618	16.662	5.0025	8.0799	17.3585	11.6238	8.3021	9.3631	7.5628
RBM5	37.6998	19.8446	22.0031	10.1114	13.1929	29.3392	20.9533	15.9171	6.6847	8.7645
